Lead_ID,Location,College,Year_of_Study,Program_Interest,Lead_Source
LD15940,Goa,Goa College of Engineering,2nd,Electric Vehicle,WhatsApp
LD15941,Varanasi,Ashoka Institute of Technology and Management,4th,Finance,Mass-Mailing
LD15942,Hyderabad,University of Hyderabad,1st,Electric Vehicle,Mass-Mailing
LD15943,Amritsar,"Khalsa College, Amritsar",3rd,Data Analytics,Mass-Mailing
LD15944,Ahmedabad,Indian Institute of Technology Gandhinagar,1st,Software Engineering,WhatsApp
LD15945,Mumbai,Tata Institute of Social Sciences,1st,Finance,Collaboration
LD15946,Chennai,Loyola College,4th,Finance,College
LD15947,Amritsar,Guru Nanak Dev University,4th,Finance,WhatsApp
LD15948,Pune,Symbiosis International University,2nd,Business Analytics,College
LD15949,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,4th,Accounting,Mass-Mailing
LD15950,Chennai,University of Madras,4th,Prompt Engineering,LinkedIn
LD15951,Mysore,"National Institute of Engineering, Mysore",3rd,Finance,WhatsApp
LD15952,Pune,University of Pune,4th,Prompt Engineering,Google Form
LD15953,Shimla,Himachal Pradesh University,2nd,Business Analytics,Instagram
LD15954,Mumbai,University of Mumbai,4th,Data Analytics,Mass-Mailing
LD15955,Amritsar,Guru Nanak Dev University,2nd,Business Analytics,Instagram
LD15956,Varanasi,Ashoka Institute of Technology and Management,4th,Data Science,LinkedIn
LD15957,Agra,Hindustan College of Science and Technology,1st,Software Engineering,Google Form
LD15958,Varanasi,Ashoka Institute of Technology and Management,2nd,Business Analytics,WhatsApp
LD15959,Mumbai,University of Mumbai,4th,Robotics,College
LD15960,Pune,"College of Engineering, Pune",3rd,AI,WhatsApp
LD15961,Srinagar,University of Kashmir,2nd,Business Analytics,LinkedIn
LD15962,Mumbai,Narsee Monjee Institute of Management Studies,1st,Accounting,WhatsApp
LD15963,Srinagar,"Government Medical College, Srinagar",4th,Prompt Engineering,LinkedIn
LD15964,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",1st,AI,WhatsApp
LD15965,Lucknow,University of Lucknow,4th,Finance,College
LD15966,Amritsar,"Hindu College, Amritsar",4th,Electric Vehicle,Google Form
LD15967,Chennai,Loyola College,1st,Accounting,LinkedIn
LD15968,Agra,Agra College,3rd,Prompt Engineering,Google Form
LD15969,Srinagar,National Institute of Technology Srinagar,1st,Robotics,WhatsApp
LD15970,Agra,St. John's College,2nd,Data Analytics,Google Form
LD15971,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",1st,Electric Vehicle,Google Form
LD15972,Udaipur,Vidya Bhawan Polytechnic College,4th,AI,Collaboration
LD15973,Goa,National Institute of Oceanography,3rd,Data Analytics,College
LD15974,Varanasi,Sampurnanand Sanskrit University,1st,Finance,Mass-Mailing
LD15975,Bangalore,Indian Institute of Science,4th,Data Analytics,Instagram
LD15976,Shimla,Himachal Pradesh University,4th,Accounting,WhatsApp
LD15977,Ahmedabad,Nirma University,3rd,Robotics,WhatsApp
LD15978,Rishikesh,Parmarth Niketan,4th,Data Science,College
LD15979,Shimla,St. Bede's College,2nd,Software Engineering,College
LD15980,Varanasi,Ashoka Institute of Technology and Management,2nd,Software Engineering,LinkedIn
LD15981,Agra,Dayalbagh Educational Institute,2nd,AI,Collaboration
LD15982,Goa,"Birla Institute of Technology and Science, Goa",2nd,Robotics,WhatsApp
LD15983,Bangalore,Indian Institute of Management Bangalore,3rd,Prompt Engineering,LinkedIn
LD15984,Pune,Symbiosis International University,2nd,Prompt Engineering,Mass-Mailing
LD15985,Hyderabad,University of Hyderabad,4th,Electric Vehicle,WhatsApp
LD15986,Shimla,Himachal Pradesh University,4th,Data Analytics,Instagram
LD15987,Rishikesh,Uttarakhand Sanskrit University,4th,Finance,Collaboration
LD15988,Rishikesh,Sri Hemkunt Sahib Public School,2nd,Electric Vehicle,Collaboration
LD15989,Agra,Dr. Bhimrao Ambedkar University,2nd,Electric Vehicle,LinkedIn
LD15990,Kolkata,Presidency University,3rd,Accounting,Mass-Mailing
LD15991,Rishikesh,Uttarakhand Sanskrit University,3rd,Software Engineering,Google Form
LD15992,Mumbai,St. Xavier's College,2nd,Robotics,College
LD15993,Pune,University of Pune,2nd,Finance,LinkedIn
LD15994,Jaipur,Manipal University Jaipur,2nd,Accounting,Mass-Mailing
LD15995,Bangalore,Christ University,3rd,Accounting,Google Form
LD15996,Lucknow,"Amity University, Lucknow",1st,Accounting,WhatsApp
LD15997,Srinagar,Amar Singh College,2nd,Finance,Collaboration
LD15998,Pune,University of Pune,2nd,Robotics,College
LD15999,Varanasi,Banaras Hindu University,2nd,Data Science,College
LD16000,Jaipur,Malaviya National Institute of Technology Jaipur,3rd,Data Analytics,WhatsApp
LD16001,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",2nd,Business Analytics,College
LD16002,Delhi,Jamia Millia Islamia,3rd,Business Analytics,Google Form
LD16003,Varanasi,Sampurnanand Sanskrit University,4th,Robotics,LinkedIn
LD16004,Shimla,St. Bede's College,3rd,Business Analytics,College
LD16005,Udaipur,Maharana Pratap University of Agriculture and Technology,1st,AI,Google Form
LD16006,Chennai,Indian Institute of Technology Madras,2nd,Data Science,WhatsApp
LD16007,Kolkata,University of Calcutta,2nd,Software Engineering,Google Form
LD16008,Mumbai,Narsee Monjee Institute of Management Studies,1st,Robotics,LinkedIn
LD16009,Hyderabad,Indian Institute of Technology Hyderabad,1st,Data Science,Mass-Mailing
LD16010,Pune,University of Pune,3rd,Finance,Mass-Mailing
LD16011,Amritsar,Sri Guru Ram Das University of Health Sciences,3rd,Electric Vehicle,Google Form
LD16012,Agra,St. John's College,4th,Software Engineering,Collaboration
LD16013,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",2nd,Data Analytics,Instagram
LD16014,Delhi,University of Delhi,2nd,Data Science,Collaboration
LD16015,Chennai,Anna University,2nd,Software Engineering,Mass-Mailing
LD16016,Pune,University of Pune,2nd,Electric Vehicle,Instagram
LD16017,Udaipur,Vidya Bhawan Polytechnic College,1st,Prompt Engineering,LinkedIn
LD16018,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",4th,Electric Vehicle,Google Form
LD16019,Pune,University of Pune,2nd,Software Engineering,Instagram
LD16020,Rishikesh,Sri Hemkunt Sahib Public School,3rd,Robotics,Mass-Mailing
LD16021,Lucknow,"Amity University, Lucknow",1st,Software Engineering,LinkedIn
LD16022,Hyderabad,University of Hyderabad,4th,Robotics,LinkedIn
LD16023,Lucknow,"Amity University, Lucknow",2nd,Software Engineering,WhatsApp
LD16024,Delhi,All India Institute of Medical Sciences,1st,Finance,College
LD16025,Agra,Hindustan College of Science and Technology,2nd,Robotics,Google Form
LD16026,Hyderabad,University of Hyderabad,4th,Accounting,LinkedIn
LD16027,Srinagar,National Institute of Technology Srinagar,2nd,Electric Vehicle,Mass-Mailing
LD16028,Shimla,Indira Gandhi Medical College,4th,Electric Vehicle,Collaboration
LD16029,Varanasi,Central Hindu School,4th,Prompt Engineering,LinkedIn
LD16030,Jaipur,Malaviya National Institute of Technology Jaipur,4th,Business Analytics,Instagram
LD16031,Chennai,Anna University,2nd,Prompt Engineering,College
LD16032,Srinagar,University of Kashmir,3rd,Electric Vehicle,Mass-Mailing
LD16033,Varanasi,Banaras Hindu University,2nd,Electric Vehicle,Mass-Mailing
LD16034,Jaipur,Malaviya National Institute of Technology Jaipur,4th,Finance,WhatsApp
LD16035,Varanasi,Banaras Hindu University,1st,Accounting,Google Form
LD16036,Bangalore,Bangalore University,2nd,Data Analytics,Google Form
LD16037,Amritsar,"Khalsa College, Amritsar",4th,Robotics,College
LD16038,Udaipur,Mohanlal Sukhadia University,2nd,Data Science,Collaboration
LD16039,Pune,Symbiosis International University,2nd,Finance,WhatsApp
LD16040,Mysore,Mahajana Education Society,4th,Prompt Engineering,Mass-Mailing
LD16041,Pune,University of Pune,2nd,Business Analytics,WhatsApp
LD16042,Shimla,Indira Gandhi Medical College,4th,AI,College
LD16043,Varanasi,Central Hindu School,2nd,Business Analytics,Google Form
LD16044,Mysore,Mahajana Education Society,2nd,Data Analytics,Instagram
LD16045,Kolkata,Indian Institute of Technology Kharagpur,2nd,Software Engineering,WhatsApp
LD16046,Srinagar,National Institute of Technology Srinagar,1st,Finance,WhatsApp
LD16047,Rishikesh,Dev Sanskriti Vishwavidyalaya,4th,Software Engineering,College
LD16048,Kolkata,University of Calcutta,1st,Business Analytics,Mass-Mailing
LD16049,Pune,"College of Engineering, Pune",4th,Prompt Engineering,Mass-Mailing
LD16050,Agra,Dayalbagh Educational Institute,2nd,Data Analytics,Mass-Mailing
LD16051,Kolkata,Indian Institute of Technology Kharagpur,1st,Data Analytics,WhatsApp
LD16052,Hyderabad,University of Hyderabad,2nd,Accounting,Collaboration
LD16053,Mumbai,Narsee Monjee Institute of Management Studies,4th,Data Science,Instagram
LD16054,Ahmedabad,Nirma University,1st,Finance,Instagram
LD16055,Varanasi,Ashoka Institute of Technology and Management,2nd,Data Analytics,LinkedIn
LD16056,Amritsar,"Khalsa College, Amritsar",4th,Finance,College
LD16057,Rishikesh,Uttarakhand Sanskrit University,3rd,Prompt Engineering,WhatsApp
LD16058,Goa,"Birla Institute of Technology and Science, Goa",3rd,Finance,Mass-Mailing
LD16059,Udaipur,Maharana Pratap University of Agriculture and Technology,2nd,Electric Vehicle,College
LD16060,Chennai,Anna University,1st,Business Analytics,Google Form
LD16061,Delhi,Indian Institute of Technology Delhi,4th,Prompt Engineering,WhatsApp
LD16062,Udaipur,Vidya Bhawan Polytechnic College,4th,Prompt Engineering,Instagram
LD16063,Ahmedabad,CEPT University,3rd,Data Analytics,Mass-Mailing
LD16064,Pune,Symbiosis International University,2nd,Robotics,WhatsApp
LD16065,Srinagar,"Government Medical College, Srinagar",1st,Accounting,Collaboration
LD16066,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",4th,Finance,Instagram
LD16067,Srinagar,University of Kashmir,2nd,Data Analytics,Collaboration
LD16068,Shimla,Indian Institute of Advanced Study,3rd,Robotics,College
LD16069,Kolkata,Indian Institute of Technology Kharagpur,4th,Software Engineering,LinkedIn
LD16070,Varanasi,Mahatma Gandhi Kashi Vidyapith,3rd,Accounting,College
LD16071,Pune,Symbiosis International University,4th,Electric Vehicle,Collaboration
LD16072,Srinagar,National Institute of Technology Srinagar,4th,Software Engineering,Collaboration
LD16073,Udaipur,Maharana Pratap University of Agriculture and Technology,3rd,Software Engineering,Google Form
LD16074,Varanasi,Banaras Hindu University,4th,AI,Instagram
LD16075,Pune,University of Pune,4th,Data Science,Google Form
LD16076,Mumbai,Indian Institute of Technology Bombay,2nd,Robotics,Instagram
LD16077,Ahmedabad,CEPT University,2nd,Robotics,WhatsApp
LD16078,Pune,"College of Engineering, Pune",4th,Accounting,College
LD16079,Chennai,Anna University,1st,Accounting,Mass-Mailing
LD16080,Shimla,St. Bede's College,4th,Robotics,WhatsApp
LD16081,Srinagar,National Institute of Technology Srinagar,4th,Accounting,Collaboration
LD16082,Varanasi,Sampurnanand Sanskrit University,4th,Finance,Instagram
LD16083,Lucknow,King George's Medical University,3rd,Software Engineering,Google Form
LD16084,Kolkata,Jadavpur University,3rd,Data Analytics,LinkedIn
LD16085,Goa,"Birla Institute of Technology and Science, Goa",2nd,Robotics,Google Form
LD16086,Ahmedabad,CEPT University,4th,Data Science,WhatsApp
LD16087,Lucknow,King George's Medical University,1st,Finance,Google Form
LD16088,Mumbai,Narsee Monjee Institute of Management Studies,3rd,Business Analytics,LinkedIn
LD16089,Goa,Goa University,1st,Electric Vehicle,Google Form
LD16090,Goa,"Birla Institute of Technology and Science, Goa",2nd,Robotics,Mass-Mailing
LD16091,Mumbai,University of Mumbai,1st,Prompt Engineering,Instagram
LD16092,Srinagar,National Institute of Technology Srinagar,2nd,Electric Vehicle,Google Form
LD16093,Rishikesh,Parmarth Niketan,2nd,Electric Vehicle,Google Form
LD16094,Bangalore,Bangalore University,3rd,AI,Collaboration
LD16095,Shimla,"DAV Centenary Public School, Shimla",3rd,Electric Vehicle,Google Form
LD16096,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,3rd,Robotics,Mass-Mailing
LD16097,Shimla,Indian Institute of Advanced Study,4th,Finance,Collaboration
LD16098,Ahmedabad,Gujarat University,2nd,Software Engineering,College
LD16099,Goa,"Birla Institute of Technology and Science, Goa",1st,Accounting,Mass-Mailing
LD16100,Hyderabad,University of Hyderabad,2nd,Finance,Instagram
LD16101,Goa,National Institute of Oceanography,4th,Prompt Engineering,Google Form
LD16102,Srinagar,National Institute of Technology Srinagar,3rd,Electric Vehicle,College
LD16103,Varanasi,Banaras Hindu University,4th,Data Science,WhatsApp
LD16104,Amritsar,Sri Guru Ram Das University of Health Sciences,4th,Business Analytics,WhatsApp
LD16105,Goa,"Birla Institute of Technology and Science, Goa",1st,Robotics,College
LD16106,Bangalore,RV College of Engineering,1st,Data Science,College
LD16107,Kolkata,Jadavpur University,3rd,Robotics,College
LD16108,Goa,"Birla Institute of Technology and Science, Goa",3rd,Finance,College
LD16109,Hyderabad,Indian Institute of Technology Hyderabad,3rd,Electric Vehicle,Google Form
LD16110,Delhi,University of Delhi,1st,Data Analytics,LinkedIn
LD16111,Mumbai,Indian Institute of Technology Bombay,4th,AI,LinkedIn
LD16112,Shimla,"DAV Centenary Public School, Shimla",3rd,Business Analytics,College
LD16113,Bangalore,Christ University,4th,AI,Google Form
LD16114,Srinagar,Amar Singh College,3rd,Business Analytics,LinkedIn
LD16115,Mysore,All India Institute of Speech and Hearing,1st,Data Science,College
LD16116,Kolkata,Indian Institute of Technology Kharagpur,2nd,Software Engineering,WhatsApp
LD16117,Udaipur,Pacific University,4th,Prompt Engineering,WhatsApp
LD16118,Varanasi,Mahatma Gandhi Kashi Vidyapith,3rd,Software Engineering,Instagram
LD16119,Varanasi,Ashoka Institute of Technology and Management,1st,Data Analytics,Google Form
LD16120,Bangalore,Christ University,2nd,Accounting,LinkedIn
LD16121,Goa,"Birla Institute of Technology and Science, Goa",3rd,AI,Mass-Mailing
LD16122,Ahmedabad,Gujarat University,4th,Software Engineering,Instagram
LD16123,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",4th,Robotics,Collaboration
LD16124,Kolkata,Jadavpur University,1st,Data Analytics,Collaboration
LD16125,Amritsar,"Khalsa College, Amritsar",4th,AI,LinkedIn
LD16126,Chennai,Loyola College,1st,Data Science,Collaboration
LD16127,Rishikesh,Sri Hemkunt Sahib Public School,2nd,Accounting,Collaboration
LD16128,Rishikesh,Sri Hemkunt Sahib Public School,3rd,Finance,Instagram
LD16129,Kolkata,Indian Institute of Technology Kharagpur,2nd,Finance,Instagram
LD16130,Shimla,"DAV Centenary Public School, Shimla",1st,Electric Vehicle,Google Form
LD16131,Chennai,Indian Institute of Technology Madras,3rd,Finance,College
LD16132,Amritsar,Sri Guru Ram Das University of Health Sciences,1st,Electric Vehicle,Google Form
LD16133,Chennai,University of Madras,4th,Finance,Google Form
LD16134,Varanasi,Sampurnanand Sanskrit University,4th,Data Analytics,College
LD16135,Bangalore,Bangalore University,3rd,Software Engineering,College
LD16136,Ahmedabad,Indian Institute of Management Ahmedabad,1st,Business Analytics,Mass-Mailing
LD16137,Delhi,University of Delhi,4th,Data Analytics,WhatsApp
LD16138,Shimla,Indira Gandhi Medical College,1st,Robotics,LinkedIn
LD16139,Varanasi,Sampurnanand Sanskrit University,4th,Robotics,Collaboration
LD16140,Varanasi,Sampurnanand Sanskrit University,2nd,Business Analytics,College
LD16141,Chennai,University of Madras,4th,Prompt Engineering,Collaboration
LD16142,Srinagar,Amar Singh College,3rd,Prompt Engineering,College
LD16143,Amritsar,BBK DAV College for Women,2nd,Accounting,College
LD16144,Lucknow,"Amity University, Lucknow",1st,Business Analytics,Instagram
LD16145,Shimla,Himachal Pradesh University,1st,Accounting,LinkedIn
LD16146,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",1st,Robotics,Instagram
LD16147,Lucknow,Indian Institute of Management Lucknow,1st,Software Engineering,LinkedIn
LD16148,Ahmedabad,Indian Institute of Technology Gandhinagar,4th,Finance,Collaboration
LD16149,Chennai,Loyola College,4th,Accounting,WhatsApp
LD16150,Shimla,Indira Gandhi Medical College,3rd,Prompt Engineering,WhatsApp
LD16151,Delhi,Jamia Millia Islamia,2nd,Finance,LinkedIn
LD16152,Kolkata,Presidency University,4th,Business Analytics,Mass-Mailing
LD16153,Shimla,St. Bede's College,3rd,Business Analytics,Google Form
LD16154,Shimla,"DAV Centenary Public School, Shimla",1st,Finance,Collaboration
LD16155,Goa,National Institute of Oceanography,4th,Robotics,Mass-Mailing
LD16156,Chennai,Loyola College,3rd,Robotics,Google Form
LD16157,Shimla,Himachal Pradesh University,4th,Accounting,Instagram
LD16158,Chennai,University of Madras,2nd,Software Engineering,College
LD16159,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,2nd,Software Engineering,Collaboration
LD16160,Bangalore,Christ University,1st,Accounting,WhatsApp
LD16161,Varanasi,Sampurnanand Sanskrit University,4th,Data Analytics,College
LD16162,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,3rd,Software Engineering,College
LD16163,Delhi,Jawaharlal Nehru University,3rd,Accounting,LinkedIn
LD16164,Srinagar,"Government Medical College, Srinagar",2nd,Software Engineering,Mass-Mailing
LD16165,Agra,Dayalbagh Educational Institute,3rd,Prompt Engineering,Collaboration
LD16166,Amritsar,"Khalsa College, Amritsar",3rd,Data Analytics,Instagram
LD16167,Mysore,"National Institute of Engineering, Mysore",2nd,Accounting,Mass-Mailing
LD16168,Jaipur,"St. Xavier's College, Jaipur",3rd,Data Science,Google Form
LD16169,Amritsar,"Hindu College, Amritsar",2nd,Data Science,College
